# 2017-12-07
# num_trials=1000
# using N_mut_list
# ngens=1
# wrap_attributes =false
# additive_error=false
# int_burn_in=125
# neutral=true
# ideal=1.0
# fit_slope=1.0
N,N_mut,mutation_stddev,num_attributes,fitness_mean,fitness_coef_var,attribute_mean,attribute_coef_var,fit_diff_neg_fract,fit_diff_neg_neutral,fit_diff_pos_neutral,fit_diff_pos_fract
6400,0.125,1.953125e-5,1,1.0,0.0,0.997681697587307,0.0008466652755098273,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9995382981801728,0.0014433598879648182,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9987326750915322,0.000841233299647422,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9981978300882628,0.001380283589095245,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.000150031356142,0.0010332642612814636,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9984209451659496,0.0014196785579965038,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0008939187663999,0.0011212738469561837,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0019228501257496,0.001509629786409543,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9994430397291623,0.001999981742447678,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9999570049737702,0.001343884735238276,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0025686937209812,0.0016470048897058091,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9992839074490576,0.0023392910828370006,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0010328119996068,0.0013576693443845991,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9991594569951673,0.001435402936774337,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9982429084775939,0.0007828259418996433,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.001473609423104,0.0010741533066955392,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0026021853668061,0.0013880865585570684,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9978600282095923,0.0022893322613553283,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9989543683212009,0.001722604674634394,0.0,0.0,1.0,0.0
