# 2018-07-02
# no random number seed defined
# infinite_sites_model
# N_list="[100, 200]"
# mu_list="[0.01, 0.02]"
# ngens=1000
# dfe=dfe_neutral
# dfe_str=dfe_neutral
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
N,100,0.01,971,8,0,0,0.008171603677221655,5.895983522142122,212.75,1.0,1.0,1.0,16.309540804187485,0.002686657755581076,0.1709949083987626,2.0190130054644047e-5
N,200,0.01,2012,9,0,0,0.004453240969816922,8.509443339960239,429.77777777777777,1.0,1.0,1.0,30.345893089960885,0.001966286209818386,0.15506762929161222,6.942068516464731e-6
N,100,0.02,2023,14,0,0,0.006872852233676976,6.621848739495798,225.5,1.0,1.0,1.0,19.05024206562668,0.0013917328037690302,0.17455438407746235,8.86964423799459e-6
N,200,0.02,3958,21,0,0,0.005277707966825836,7.894391106619505,478.57142857142856,1.0,1.0,1.0,34.504075096631695,0.0010695688825293893,0.16826905135284326,3.768685231617641e-6
