# 2018-05-14
# infinite_sites_model
# N_list="[100, 200]"
# N_mu_list="[1.0, 2.0]"
# ngens=1000
# dfe=dfe_disadv
# dfe_str=dfe_disadv alpha_disadv=0.2 beta_disadv=1.0
# dfe_disadv_alpha=0.2
type,N,N_mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
D4,100,1.0,914,3,0,3,0.003271537622682661,4.25492341356674,242.66666666666666,0.8443918893331464,0.9999264060088283,0.8449007263560767,13.401698590531261,0.003637321225909992,0.15109269967473804,2.9303620853555863e-5
D4,200,1.0,1036,2,0,2,0.0019267822736030828,5.255791505791506,464.5,0.8415228998521364,0.9999983748163872,0.8418282475880982,20.25728548300054,0.0049760468399186585,0.11404836076632517,2.033829602030154e-5
D4,100,2.0,1968,8,0,8,0.004048582995951417,5.488313008130081,135.0,0.8464088033153397,0.9996055068349964,0.8470290328842452,14.121094031897236,0.0015178237781211914,0.15407412859926445,1.1444502894011232e-5
D4,200,2.0,1990,4,0,4,0.0020060180541624875,4.69145728643216,300.75,0.8515341242455545,0.9999910245168964,0.8518319314677638,18.839064868746508,0.002951853774833207,0.10221693130136464,1.1027042560053341e-5
