# 2018-05-18
# no random number seed defined
# infinite_sites_model
# N_list="[100, 200]"
# mu_list="[0.01, 0.02]"
# ngens=1000
# dfe=dfe_neutral
# dfe_str=dfe_neutral
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
N,100,0.01,1005,8,0,0,0.007897334649555774,8.802985074626866,223.75,1.0,1.0,1.0,20.216824034334763,0.0021044973413814083,0.20238228326180316,1.4805421878530931e-5
N,200,0.01,1955,11,0,0,0.005595116988809766,8.393350383631713,399.09090909090907,1.0,1.0,1.0,31.256314517900286,0.0020334138752400315,0.15657869975840003,7.134873431589255e-6
N,100,0.02,1972,22,0,0,0.011033099297893681,7.296146044624747,222.0,1.0,1.0,1.0,21.002492241136085,0.0012559354363701992,0.18916444089156517,7.851873161687017e-6
N,200,0.02,3977,14,0,0,0.003507892758707091,9.539602715614786,431.35714285714283,1.0,1.0,1.0,33.424836873814336,0.001004373588587376,0.16232997977860508,3.4426498591605847e-6
