# 2018-05-18
# no random number seed defined
# infinite_sites_model
# N_list="[100, 200]"
# N_mu_list="[1.0, 2.0]"
# ngens=1000
# dfe=dfe_disadv
# dfe_str=dfe_disadv alpha_disadv=0.2 beta_disadv=1.0
# dfe_disadv_alpha=0.2
type,N,N_mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
D4,100,1.0,988,4,0,0,0.004032258064516129,5.151821862348178,249.0,0.8359814852498499,0.9993351020009874,0.8366401691883627,16.410709239898278,0.003364144930527104,0.16097120655552472,2.307608130210588e-5
D4,200,1.0,990,1,0,0,0.0010090817356205853,5.97979797979798,447.0,0.8468294162846561,0.9990334699912545,0.8469830026153389,23.423212829573252,0.005455376393268294,0.12624710519162854,2.132407440225145e-5
D4,100,2.0,2128,6,0,0,0.0028116213683223993,5.819548872180451,213.0,0.8439743066993424,0.998711463323743,0.8444093689953811,14.09084578374272,0.0012640261717580892,0.16237889339073353,1.0276060973212185e-5
D4,200,2.0,1923,4,0,0,0.0020757654385054488,4.946437857514301,386.75,0.8478125507796688,0.999596982259492,0.8481276196566379,24.194825196365315,0.003288931948294315,0.12147829200677698,1.1770631083613474e-5
