# 2017-09-13
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.01]"
# ngens=500000
# dfe=dfefixed
# dfe_str=dfe_fixed s = -0.001
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
S5,25,0.01,120170,4725,0,4725,0.03783177869410305,5.133119747025048,46.57142857142857,0.9989999999991411,0.9989999999998935,0.9989999999990282,6.094333286199095,6.358251906834368e-6,0.24902523289869477,1.6010849634528768e-7
S5,50,0.01,245586,4574,0,4574,0.01828429804924848,6.386919449805771,100.16331438565807,0.9990000000043954,0.9989999999998966,0.9990000000045108,10.59276059635153,5.3730260791972895e-6,0.2142174660109482,7.166523968494203e-8
S5,100,0.01,496348,3978,0,3978,0.007950816067923713,7.915948084811463,211.38738059326295,0.9990000000075857,0.9989999999999117,0.9990000000076106,18.613289211789105,4.543338131742662e-6,0.18830507611601383,3.1690356147323907e-8
S5,200,0.01,994713,3012,0,3012,0.0030188679245283017,9.49014539872305,443.1942231075697,0.998999999981654,0.9989999999999487,0.998999999981566,32.2050660529703,3.902133650572316e-6,0.16467622906909482,1.4144019655420388e-8
S5,400,0.01,1998278,1385,0,1385,0.0006926167059149467,11.389630972267122,1001.0664259927797,0.9990000000222802,0.9990000000000185,0.9990000000223125,55.938319474696286,3.3137546760345537e-6,0.146745203748271,6.3076684050888725e-9
S5,800,0.01,4001657,37,0,37,9.24608428330602e-6,12.35680944168878,1604.972972972973,0.99899999993494,0.9989999999999999,0.9989999999349392,74.97156465374073,2.881124218534877e-6,0.11572576932631963,2.83637522186062e-9
S5,1600,0.01,8003450,0,0,0,0.0,11.964091235654625,-1.0,0.9989999998855128,-1.0,0.9989999998855128,77.73743183333254,1.6920966752270198e-6,0.07372401319032552,1.1361759717565506e-9
S5,3200,0.01,16003270,0,0,0,0.0,11.835660899303704,-1.0,0.9989999998608057,-1.0,0.9989999998608057,78.77357620710482,9.032335318234558e-7,0.0424936217561856,3.8371217624658396e-10
S5,6400,0.01,32001254,0,0,0,0.0,11.713974114889373,-1.0,0.9990000007335919,-1.0,0.9990000007335919,78.4276428179045,4.6902033675457073e-7,0.02272949180288668,1.1442378838959467e-10
