# 2017-09-13
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.01]"
# ngens=500000
# dfe=dfefixed
# dfe_str=dfe_fixed s = -0.002
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
S1,25,0.01,120636,4483,0,4483,0.035829889944772576,5.150576942206307,47.711577068927056,0.9980000000029232,0.9980000000000028,0.9980000000030645,6.089505443299613,6.359709859028527e-6,0.2491298405278313,1.605190122015711e-7
S1,50,0.01,245607,4051,0,4051,0.016226197438095315,6.586123359676231,103.20217230313503,0.9979999999981601,0.9980000000000404,0.9979999999980653,10.562879814188598,5.309592411323191e-6,0.21546542500669863,7.156821842079561e-8
S1,100,0.01,497129,3089,0,3089,0.006175307565901267,8.160012793460048,222.88701845257364,0.9980000000089297,0.9980000000000383,0.9980000000090069,18.418398774520785,4.529278704751889e-6,0.18763767540309836,3.183066197366192e-8
S1,200,0.01,997597,1472,0,1472,0.001473371709061136,10.016098685140392,489.5923913043478,0.998000000015196,0.9980000000000284,0.9980000000152052,31.330781258765214,3.8132327964349215e-6,0.1645023104952792,1.4231951471803253e-8
S1,400,0.01,2000157,82,0,82,4.099510108542029e-5,10.849732296014762,930.7439024390244,0.9979999999630532,0.9980000000000001,0.9979999999630509,41.47701576029468,2.865336150434904e-6,0.12785756852974656,6.489148166453278e-9
S1,800,0.01,4000558,0,0,0,0.0,10.59984432171712,-1.0,0.9980000000445601,-1.0,0.9980000000445601,43.084419852238454,1.7157713373989521e-6,0.08209885436852646,2.614928997097118e-9
S1,1600,0.01,8001386,0,0,0,0.0,10.43419727532205,-1.0,0.9979999998701257,-1.0,0.9979999998701257,43.89969076863593,1.0862039948488966e-6,0.04737541129358124,8.93834231010836e-10
S1,3200,0.01,16003012,0,0,0,0.0,10.380464939975049,-1.0,0.9979999997711486,-1.0,0.9979999997711486,44.235410629255156,5.637647567675414e-7,0.025640479349630704,2.6769612241222596e-10
S1,6400,0.01,32001376,0,0,0,0.0,10.306507945158359,-1.0,0.9979999997216688,-1.0,0.9979999997216688,44.15916877521593,2.8531967334786314e-7,0.013280456794489047,7.413816256644479e-11
