# 2017-09-13,,,,,,,,,,,,,,,,,,,,
# infinite_sites_model,,,,,,,,,,,,,,,,,,,,
#"# N_list=""""[25""",,50,25,50,100,200,400,800,1600,3200,"6400]""",,,,,,,,,
#"# mu_list=""""[0.01]""""""",,,,,,,,,,,,,,,,,,,,
# ngens=500000,,,,,,,,,,,,,,,,,,,,
# dfe=dfefixed,,,,,,,,,,,,,,,,,,,,
# dfe_str=dfe_fixed s = -0.0,,,,,,,,,,,,,,,,,,,,
# See s column for selection coefficient (concatenated in Excel),,,,,,,,,,,,,,,,,,,,
type,s,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz,count_ratio,observed_heteroz_ratio,expected_heteroz_ratio
S1,-0.002,100,0.01,497129,3089,0,3089,0.006175308,8.160012793,222.8870185,0.998,0.998,0.998,18.41839877,4.53E-06,0.187637675,3.18E-08,0.977668143,0.993089605,0.933510437
S1,-0.002,200,0.01,997597,1472,0,1472,0.001473372,10.01609869,489.5923913,0.998,0.998,0.998,31.33078126,3.81E-06,0.16450231,1.42E-08,0.949370982,0.990617985,0.868067558
S1,-0.002,400,0.01,2000157,82,0,82,4.10E-05,10.8497323,930.7439024,0.998,0.998,0.998,41.47701576,2.87E-06,0.127857569,6.49E-09,0.690601073,0.851726909,0.744059298
S1,-0.002,800,0.01,4000558,0,0,0,0,10.59984432,-1,0.998,-1,0.998,43.08441985,1.72E-06,0.082098854,2.61E-09,0.389823407,0.59820166,0.540011264
S1,-0.002,1600,0.01,8001386,0,0,0,0,10.43419728,-1,0.998,-1,0.998,43.89969077,1.09E-06,0.047375411,8.94E-10,0.220334057,0.379429878,0.309171355
S1,-0.002,3200,0.01,16003012,0,0,0,0,10.38046494,-1,0.998,-1,0.998,44.23541063,5.64E-07,0.025640479,2.68E-10,0.120649966,0.224015087,0.156244478
S1,-0.002,6400,0.01,32001376,0,0,0,0,10.30650795,-1,0.998,-1,0.998,44.15916878,2.85E-07,0.013280457,7.41E-11,0.065119065,0.125185168,0.078125
S1,-0.005,25,0.01,120626,3874,0,3874,0.031116466,5.329920581,49.07821373,0.995,0.995,0.995,6.031425838,6.31E-06,0.249389277,1.61E-07,0.979411048,1.000831341,0.958376672
S1,-0.005,50,0.01,247557,2633,0,2633,0.010524002,6.834704735,106.968477,0.995,0.995,0.995,10.07121809,5.28E-06,0.211557019,7.31E-08,0.95746758,0.98895174,0.917011835
S1,-0.005,100,0.01,498564,930,0,930,0.001861884,8.519245272,239.5494624,0.995,0.995,0.995,16.40847933,4.36E-06,0.180430215,3.32E-08,0.870979487,0.954943459,0.836046586
S1,-0.005,200,0.01,1000213,10,0,10,1.00E-05,8.977439805,311.4,0.995,0.995,0.995,19.78555718,3.04E-06,0.132203207,1.49E-08,0.599532891,0.796115715,0.686964715
S1,-0.005,400,0.01,2000149,0,0,0,0,8.718960937,-1,0.995,-1,0.995,20.53256037,1.80E-06,0.08204493,5.84E-09,0.341871467,0.546544685,0.462685279
S1,-0.005,800,0.01,4000076,0,0,0,0,8.578371261,-1,0.995,-1,0.995,20.73462853,9.77E-07,0.046110123,1.92E-09,0.18760479,0.335974876,0.24932885
S1,-0.005,1600,0.01,7999339,0,0,0,0,8.544301973,-1,0.995,-1,0.995,20.95500204,5.12E-07,0.024655281,5.62E-10,0.105173876,0.197464251,0.124999775
S1,-0.005,3200,0.01,16001392,0,0,0,0,8.505433027,-1,0.995,-1,0.995,21.10096155,3.23E-07,0.01278554,1.54E-10,0.057551863,0.111704383,0.0625
S1,-0.005,6400,0.01,32006828,0,0,0,0,8.487954945,-1,0.995,-1,0.995,21.0929176,1.49E-07,0.006489858,4.02E-11,0.03110455,0.061175152,0.03125
S1,-0.01,25,0.01,121929,2836,0,2836,0.022730734,5.512445768,51.1100141,0.99,0.99,0.99,5.856375818,6.26E-06,0.247602725,1.64E-07,0.950985609,0.993661678,0.917011835
