# 2017-09-13
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.01]"
# ngens=500000
# dfe=dfefixed
# dfe_str=dfe_fixed s = -0.02
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
S1,25,0.01,123561,1235,0,1235,0.009896150517644796,5.7129595908093975,52.517408906882594,0.9799999999988942,0.9800000000000134,0.9799999999988649,5.354335975273406,6.068815541221669e-6,0.24208260808403154,1.7084224139883485e-7
S1,50,0.01,249862,70,0,70,0.00028007618072115617,6.346987537120491,88.67142857142858,0.9800000000041561,0.9799999999999989,0.9800000000041579,6.775784604860994,4.4711533767256615e-6,0.18003824734925633,8.19597303093465e-8
S1,100,0.01,500632,0,0,0,0.0,6.047304207481743,-1.0,0.9799999999937692,-1.0,0.9799999999937692,7.049475554305908,2.731308331248031e-6,0.11247866504051715,3.422046292640829e-8
S1,200,0.01,999552,0,0,0,0.0,5.899963183506211,-1.0,0.9799999999875819,-1.0,0.9799999999875819,7.160563658423703,1.513404021380538e-6,0.06359461853851696,1.1674152236197844e-8
S1,400,0.01,1999000,0,0,0,0.0,5.891841920960481,-1.0,0.979999999984478,-1.0,0.979999999984478,7.282637496450553,7.957661211970661e-7,0.03424785677289469,3.46266948474302e-9
S1,800,0.01,4003474,0,0,0,0.0,5.83875229363298,-1.0,0.9799999999829236,-1.0,0.9799999999829236,7.274191858238174,4.061855606782164e-7,0.017633644064911268,9.461592942657085e-10
S1,1600,0.01,8002102,0,0,0,0.0,5.835881122235133,-1.0,0.9800000001987527,-1.0,0.9800000001987527,7.318182117326465,2.0735801929249372e-7,0.009005372652337121,2.4987020151186023e-10
S1,3200,0.01,16002637,0,0,0,0.0,5.827100683468606,-1.0,0.9800000003228816,-1.0,0.9800000003228816,7.320847507113259,1.0435156617295291e-7,0.004539676574633698,6.40265291639432e-11
S1,6400,0.01,32002468,0,0,0,0.0,5.823046085070689,-1.0,0.9800000003849527,-1.0,0.9800000003849527,7.33025292552727,5.238003531477664e-8,0.002281692961266146,1.6217227087349984e-11
