# 2017-08-13
# infinite alleles model
# popsize_multiplier_list=[1]
# N_list=[25,50,100,200,400,800,1600,3200,6400]
# ngens=400000
# burn_in=2.0
# dfe=dfe_mixd
# dfe_str=dfe_mixd advprob=0.01 alpha_adv=0.5 alpha_disadv=0.2 beta_adv=0.02 beta_disadv=0.5
# dfe_adv_prob=0.01
# dfe_adv_alpha=1.0
# dfe_adv_beta=0.02
# dfe_disadv_alpha=0.2
# dfe_disadv_beta=0.5
type,N,N_mu,expected_richness,average_richness,stderr_richness,expected_w_heteroz,w_heteroz,stderr_heteroz,IQV,stderr_IQV
M3,50,2.0,10.89431416756967,8.121345,0.004091145050118249,0.8,0.6671395200000027,0.0003104434779366267,0.7651995515670292,0.0003229106433935456
M3,100,2.0,13.533831335352,6.26204,0.003897978717437438,0.8,0.2776336250002279,0.0002745569679329782,0.3296553309201071,0.00029846069867235436
M3,200,2.0,16.238197370360428,6.2936375,0.0036815615139804926,0.8,0.15020719862525556,0.00014670670367388725,0.17848436308236826,0.00016091970894863548
M3,400,2.0,18.976236300785686,5.02112,0.0034720188653415327,0.8,0.04946237437500389,9.746172683282874e-5,0.06074477569609906,0.00010604298489937428
M3,800,2.0,21.731438325135873,5.6881675,0.003591526796158033,0.8,0.03224444878925525,4.454757507836087e-5,0.038860035126083124,4.970504213900357e-5
M3,1600,2.0,24.495305467625887,5.5104925,0.0035210872985128885,0.8,0.015895547359228268,3.5752091782580253e-5,0.01924150986456824,4.094177511802295e-5
M3,3200,2.0,27.26352630682967,5.272655,0.0032486073186923144,0.8,0.006412422012879948,6.423955502767095e-6,0.007894445346769951,7.173555275807981e-6
M3,6400,2.0,30.03392930980186,5.7159175,0.0035687015736905873,0.8,0.004311608102516629,1.605268078789258e-5,0.005196823938856923,1.9250789519663213e-5
M3,25,4.0,11.725104420635022,9.6635925,0.0031050753354132116,0.8888888888888888,0.828268527999891,0.00010356233052929703,0.9279854970260053,9.068263606259475e-5
M3,50,4.0,16.289248572601682,13.1616825,0.004226867674651077,0.8888888888888888,0.8407063859999075,0.00011356852699363668,0.9125575632691467,0.00010773945739730957
M3,100,4.0,21.294823800880472,10.171545,0.004762357607589171,0.8888888888888888,0.3961115455000498,0.00023172410690735197,0.43992831809029126,0.00024094529974075962
M3,200,4.0,26.55592663550028,10.61979,0.005141684255381933,0.8888888888888888,0.23983346887507806,0.0001793579733977398,0.26470161479335985,0.00018726948155937145
M3,400,4.0,31.955197645152268,11.228665,0.005231003651588816,0.8888888888888888,0.14240570662497598,0.00011596602408724309,0.15626486457009006,0.00012112722894552963
M3,800,4.0,37.426413128332825,11.0845675,0.005173669540278029,0.8888888888888888,0.07142483749994077,5.830657653520662e-5,0.0784541649416694,6.124985990254783e-5
M3,1600,4.0,42.93435195424548,9.8792125,0.004840491015949993,0.8888888888888888,0.027805026915906916,2.3055323663151512e-5,0.03091898816035373,2.4464629273232597e-5
M3,3200,4.0,48.46084498067366,9.170095,0.004530029859765142,0.8888888888888888,0.01179118193208184,8.526826943898341e-6,0.013234422053798905,8.983583521676157e-6
M3,6400,4.0,53.99666385037993,10.3469225,0.004948978877350778,0.8888888888888888,0.00825233147115867,2.1642680517606358e-5,0.009128177740683868,2.3837609064140328e-5
