# 2017-08-13
# infinite alleles model
# popsize_multiplier_list=[1]
# N_list=[25,50,100,200,400,800,1600,3200,6400]
# ngens=400000
# burn_in=2.0
# dfe=dfe_mixd
# dfe_str=dfe_mixd advprob=0.01 alpha_adv=1.0 alpha_disadv=0.2 beta_adv=0.01 beta_disadv=0.5
# dfe_adv_prob=0.01
# dfe_adv_alpha=1.0
# dfe_adv_beta=0.01
# dfe_disadv_alpha=0.2
# dfe_disadv_beta=0.5
type,N,N_mu,expected_richness,average_richness,stderr_richness,expected_w_heteroz,w_heteroz,stderr_heteroz,IQV,stderr_IQV
M2,25,0.5,3.8159581777535068,3.10301,0.0020638545245459396,0.5,0.40585668800111785,0.0003586332381614358,0.5971050815403627,0.0004763119547261625
M2,50,0.5,4.499205338329423,2.7208225,0.002261875626319393,0.5,0.22392283800021817,0.0003520053937795446,0.3264794420568082,0.00047162175863633006
M2,100,0.5,5.187377517639621,3.06282,0.002379684490903299,0.5,0.20049367450067124,0.0003162850757474113,0.2835119021956017,0.00041529694777151313
M2,200,0.5,5.878030948121446,2.8666125,0.002175761366040215,0.5,0.08882547712516131,0.0001624348280287838,0.1290260598306782,0.00022070500959609664
M2,400,0.5,6.5699296911765055,2.6539975,0.002048001443055926,0.5,0.03362977281247603,6.681853452686424e-5,0.0498491189457192,9.190668086160466e-5
M2,800,0.5,7.2624522623611485,2.688825,0.002075385160999379,0.5,0.018623474516235583,4.146614822446471e-5,0.027465675336625223,5.8138512179847536e-5
M2,1600,0.5,7.955287040577324,2.526715,0.002004722753704562,0.5,0.00828393681088535,2.8593995675398936e-5,0.012238115270318251,3.9097235818834554e-5
M2,3200,0.5,8.648277995551316,2.811955,0.002135666546447852,0.5,0.00677349512601344,3.780656369614636e-5,0.009936109146987332,5.6704647958972865e-5
M2,6400,0.5,9.341347057214758,2.194185,0.0017322782589432382,0.5,0.0010691113839884636,7.381827840589071e-6,0.0016768467032178803,1.0024718620636277e-5
M2,25,1.0,5.708839432430091,4.6373625,0.0025458363188136796,0.6666666666666667,0.577780344000321,0.0002940074426394742,0.7504266437754761,0.00032353716934657115
M2,50,1.0,7.037626362933359,5.508055,0.0030012264677691807,0.6666666666666667,0.5686440100000423,0.000301771083724705,0.7050999576904693,0.0003321805547719503
M2,100,1.0,8.39455701547726,6.04896,0.0034480192891125985,0.6666666666666667,0.5075223025000188,0.00034057455737870424,0.6137974612523767,0.00038084758178786655
M2,200,1.0,9.76601214499911,4.7719,0.003157786155526289,0.6666666666666667,0.17717911062523373,0.0002293668673230559,0.22276258578077746,0.00026819011140521385
M2,400,1.0,11.144846913525079,4.2004775,0.0029803586841736177,0.6666666666666667,0.0694197154999383,0.0001484490249589759,0.08872682034135382,0.00017309842483568017
M2,800,1.0,12.527401403623669,4.62017,0.0030173864003971576,0.6666666666666667,0.04271884691419969,6.063959753506995e-5,0.05416663914095525,7.236599234064083e-5
M2,1600,1.0,13.911823300392623,4.87898,0.0033498135697568867,0.6666666666666667,0.037456086752077566,0.00012476229494782533,0.04575264742619115,0.00014369672914018517
M2,3200,1.0,15.297180795851219,4.7494925,0.003164067202101201,0.6666666666666667,0.02074439338380407,0.00011344730309680837,0.02519704696905369,0.00013017015321965697
M2,6400,1.0,16.68300656560909,4.3892275,0.002897426810260215,0.6666666666666667,0.005203672743617105,2.353300033668704e-5,0.006712404846414125,3.08903086979692e-5
M2,25,2.0,8.37535082253214,6.8653575,0.0029345644944618796,0.8,0.7272792319998291,0.0001912802368877864,0.8602650734689877,0.00018277724038075807
M2,50,2.0,10.89431416756967,8.67748,0.003665235082347446,0.8,0.731300583999996,0.00019613762018041297,0.8327889266738492,0.0001949669573135117
M2,100,2.0,13.533831335352,10.05583,0.004475222910291758,0.8,0.6825943405000088,0.0002680303129840987,0.7616109814991234,0.0002789398099623763
M2,200,2.0,16.238197370360428,7.660455,0.0042738324307986875,0.8,0.24937915137515587,0.00024365387046506047,0.2865077158424499,0.0002633359979981605
M2,400,2.0,18.976236300785686,7.677535,0.004817621179910484,0.8,0.1531619345937687,0.000251682554040507,0.1740368443359682,0.0002701872898033061
M2,800,2.0,21.731438325135873,7.4708125,0.004141008403092881,0.8,0.06722377908597321,9.94934924370666e-5,0.07731166775182774,0.00010857459361358764
M2,1600,2.0,24.495305467625887,7.41424,0.004248378593981672,0.8,0.03515539699595038,9.847838177185023e-5,0.040192558797338095,0.00010463342070991809
M2,3200,2.0,27.26352630682967,6.8301525,0.0038616768505701795,0.8,0.012745057915392266,1.859336957001326e-5,0.014916599912199586,2.1544948043122595e-5
M2,6400,2.0,30.03392930980186,7.5344725,0.00403813321760923,0.8,0.008390803335240005,1.572200375508523e-5,0.009671693446511073,1.800780174096018e-5
M2,25,4.0,11.725104420635022,9.6510075,0.0031154881002861557,0.8888888888888888,0.8275332239998958,0.00010416998429907509,0.9273546421070321,9.118696957805274e-5
M2,50,4.0,16.289248572601682,13.1840875,0.00420425289679575,0.8888888888888888,0.8433219239999113,0.00010228234873370043,0.9153188569796721,9.532321698136865e-5
M2,100,4.0,21.294823800880472,16.781955,0.005220011644263007,0.8888888888888888,0.8423081709999967,0.00011415150170717083,0.8975861793945575,0.00011162301098554876
M2,200,4.0,26.55592663550028,14.0306175,0.006362348337715039,0.8888888888888888,0.43144197350000246,0.0002927872997371083,0.4644178171306514,0.00030312508558958344
M2,400,4.0,31.955197645152268,13.4059625,0.005796385845223432,0.8888888888888888,0.21527365987500513,0.00016395608780483812,0.23253427622219783,0.00017066029952089685
