# 2017-12-11
# infinite alleles model
# popsize_multiplier_list=[1]
# N_list=[25, 50, 100, 200, 400, 800, 1600, 3200, 6400]
# mu_list=[0.025, 0.01, 0.005, 0.0025]
# burn_in=4.0
# dfe=InfAlleles.dfe_neutral
# dfe_str=dfe_neutral
type,N,mu,mean_fitness,expected_richness,average_richness,stderr_richness,expected_w_heteroz,w_heteroz,stderr_heteroz,IQV,stderr_IQV
N3,25,0.025,1.0,4.3449387295517,3.9098,0.01468495695588106,0.5555555555555556,0.5200591999999995,0.0020995625400120938,0.7073979066666592,0.0025157906720032304
N3,50,0.025,1.0,8.120256215523309,7.2761,0.02071158554958064,0.7142857142857143,0.6924504000000008,0.001388392266361589,0.8114085335046504,0.0014095144489196674
N3,100,0.025,1.0,15.715366092266924,14.0482,0.029691679568248728,0.8333333333333334,0.8203488199999998,0.0007730542457987299,0.8859822488455544,0.000750368783971429
N3,200,0.025,1.0,30.929720996293323,27.6956,0.042273073761870325,0.9090909090909091,0.9038069999999998,0.0003413424626642356,0.9384356558156329,0.0003258474530425121
N3,400,0.025,1.0,61.37079540867739,54.9612,0.05635429918563171,0.9523809523809523,0.9506338537500001,0.00011951229011140783,0.9684372206578022,0.00011360481306992507
N3,800,0.025,1.0,122.25916646417973,109.2992,0.08424106832038113,0.975609756097561,0.9738084756250001,5.787754178323548e-5,0.9828531878436639,5.507510122317952e-5
N3,1600,0.025,1.0,244.0390247824003,217.8409,0.12137549967020475,0.9876543209876543,0.986722684453125,2.086988735885972e-5,0.9912872050510563,1.9732078926377803e-5
N3,3200,0.025,1.0,487.6003001622092,436.7597,0.16803404159547589,0.9937888198757764,0.9934718697460937,6.591823569359381e-6,0.9957551072911724,6.228999124344084e-6
N3,6400,0.025,1.0,974.7236303735917,870.06,0.23994769740454544,0.9968847352024922,0.9966966338769531,2.6477245508454236e-6,0.9978443733512898,2.5011894688380474e-6
N3,25,0.01,1.0,2.591226249452671,2.2914,0.01076383714197692,0.33333333333333337,0.2826387199999909,0.0023290032966294828,0.45818725028571944,0.0035430084696986617
N3,50,0.01,1.0,4.499205338329423,4.1841,0.015605289856556678,0.5,0.49016216000000046,0.0020801863720224445,0.6547789954285678,0.0024787620369278143
N3,100,0.01,1.0,8.39455701547726,7.7246,0.023315871139305465,0.6666666666666667,0.6627493000000009,0.0014339600525448077,0.7705701032933195,0.0014652305912413054
N3,200,0.01,1.0,16.238197370360428,15.0286,0.03241177650678273,0.8,0.8002762599999994,0.0008876578620669228,0.8597410555581139,0.0008874196940317617
N3,400,0.01,1.0,31.955197645152268,29.2205,0.043569918622610226,0.8888888888888888,0.8875896900000002,0.00042004311999874693,0.919713125997741,0.00041368485133528904
N3,800,0.01,1.0,63.40461050218303,57.8693,0.06234268531304396,0.9411764705882353,0.9404333362500001,0.00018737430408478117,0.9571591960239102,0.00018319189643420093
N3,1600,0.01,1.0,126.31121923686392,115.145,0.09355860634533879,0.9696969696969697,0.9691536618750001,8.326340346042104e-5,0.9776995981438457,8.100576232146099e-5
N3,3200,0.01,1.0,252.12833812372716,229.4656,0.12670519754417522,0.9846153846153847,0.9842272901171875,2.8018377717739215e-5,0.9885484321964056,2.715391136958659e-5
N3,6400,0.01,1.0,503.7645278545372,456.2086,0.18186449921193623,0.9922480620155039,0.9919359563427734,1.0900698839112418e-5,0.9941184828951934,1.060517363377624e-5
N3,25,0.005,1.0,1.8590867558113302,1.7552,0.008024570728303001,0.19999999999999996,0.18790175999998504,0.002108549152958438,0.33313058666667356,0.0036287968873102362
N3,50,0.005,1.0,2.937774848474907,2.8418,0.011845307388612296,0.33333333333333337,0.3462235999999964,0.002240654673804041,0.5252852392380928,0.0031855290220986713
N3,100,0.005,1.0,5.187377517639621,4.7974,0.017408205782413543,0.5,0.49019394000000116,0.0020575813710367262,0.6292814950265297,0.0024351076187082545
N3,200,0.005,1.0,9.76601214499911,9.0219,0.02575089027266793,0.6666666666666667,0.6482206499999975,0.0015877827934977404,0.7336893512032757,0.001670389174253757
N3,400,0.005,1.0,18.976236300785686,16.9566,0.036694499487379025,0.8,0.7848161125000006,0.0009680071386514617,0.836026221242835,0.0009736924943753967
N3,800,0.005,1.0,37.426413128332825,34.2539,0.04950887386983443,0.8888888888888888,0.8865124753124995,0.0003923190583493269,0.9136941281440791,0.0003845557322084891
N3,1600,0.005,1.0,74.34218356643684,67.8645,0.07443646991767817,0.9411764705882353,0.9370250579687502,0.00020890363721053944,0.9511994377346485,0.00020583699642839583
N3,3200,0.005,1.0,148.18150970105745,134.2264,0.09946317708760279,0.9696969696969697,0.9671192470898436,8.380740976157811e-5,0.974417786132767,8.223625476153646e-5
N3,6400,0.005,1.0,295.86406450669574,273.2661,0.14242786823078013,0.9846153846153847,0.9847337416064453,2.229475979587177e-5,0.988360300398002,2.173015613605012e-5
N3,25,0.0025,1.0,1.4490404428906387,1.3949,0.0061448494625573795,0.11111111111111116,0.10320607999998754,0.001744455229092105,0.19250898666666716,0.0032096506445899505
N3,50,0.0025,1.0,2.0336202075956358,2.0605,0.009948561322484712,0.19999999999999996,0.22279759999998794,0.0021821366788244718,0.3768520373333394,0.0035548975834408143
