# 2017-08-14
# infinite_sites_model
# N_list="[25,50,100,200,400,800,1600,3200,6400]"
# mu_list="[0.025,0.01,0.005,0.0025]"
# ngens=500000
# burn_in=2.0
# dfe=dfe_mixd
# dfe_str=dfe_mixd advprob=0.01 alpha_adv=0.2 alpha_disadv=0.5 theta_adv=0.005 theta_disadv=0.5
# dfe_adv_prob=0.01
# dfe_adv_alpha=0.5
# dfe_adv_theta=0.005
# dfe_disadv_alpha=0.2
# dfe_disadv_theta=0.5
type,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz
M1,25,0.025,306057,6281,161,6115,0.02010962482951162,5.2383804324031145,48.06495780926604,0.9046837134834136,0.9976770594423262,0.9065537747822936,5.245202056122939,0.039440241704715766,0.2293588110891766,0.001369937012919391
M1,50,0.025,619324,5442,154,5271,0.008710461196672034,5.989784022579458,99.69294377067254,0.9053438913419412,0.9989856707535439,0.9061595544279003,8.568314211224168,0.06911625122055205,0.18690908863428463,0.0011702424374053356
M1,100,0.025,1247728,4752,171,4574,0.003794072560040879,6.675644852083146,203.11195286195286,0.9057380795704536,0.9996200398360492,0.9060942745397815,14.12339894542807,0.12134743361906063,0.15442939587137589,0.0010217395673103626
M1,200,0.025,2498196,4178,256,3909,0.001669614534038477,7.230068817658823,404.10411680229777,0.9062172604334329,1.000011701831663,0.9063738609960036,23.27477347887717,0.21475607681420736,0.12725772631339707,0.0008931618260087823
M1,400,0.025,4999205,3868,384,3467,0.000773124837474888,7.781903322628298,786.775336091003,0.9063516606496914,1.000454618930199,0.9064244139840208,39.364316592507656,0.38197438925248955,0.10714290742726959,0.0007945345370580198
M1,800,0.025,10001593,3650,673,2969,0.00036480873078245077,8.191335420267551,1453.309315068493,0.9063529970622208,1.001187521219642,0.9063875935246112,65.11423847091392,0.6842818105318591,0.08886955157256181,0.0007055039843885402
M1,1600,0.025,19995196,3660,1104,2544,0.00018301046819878096,8.599051092072315,2584.2554644808743,0.9063473049579169,1.0020665347728,0.9063648225789859,110.41514129639084,1.2324177953739401,0.07552381811598423,0.00063814668706777
M1,3200,0.025,40010862,4303,2121,2173,0.00010753423108464003,8.93972096877093,3864.144085521729,0.9063411198778676,1.0034943203185862,0.9063515671725798,185.28876652634733,2.184977868784886,0.0636608763896638,0.0005685041372349587
M1,6400,0.025,80027255,5962,4054,1898,7.449406913132081e-5,9.200450096657695,5009.2552834619255,0.9063167317045387,1.005004556648882,0.9063240833621975,307.92216900797376,3.900908104212274,0.05314483164377111,0.0005063120538077041
M1,25,0.01,122240,2522,61,2461,0.020214488385886728,5.2250245418848165,47.75059476605868,0.9034886308869196,0.9973837935010651,0.9053866735610746,5.211969164864175,0.061816107812563914,0.22869824615949827,0.0021484180333953117
M1,50,0.01,247840,2211,60,2146,0.008842196191976837,5.984122821174951,100.79511533242876,0.9050484226699123,0.9989492539480207,0.9058787122426631,8.674861060878811,0.11165487989626702,0.1883838052758497,0.0018747632849842048
M1,100,0.01,497953,1903,82,1816,0.0038070964437758076,6.642016415203845,199.3368365738308,0.9056794816307325,0.9996999716522555,0.9060374267039377,13.917127822607988,0.18774428400054394,0.15288346446121664,0.001578984357104437
M1,200,0.01,998661,1714,94,1617,0.001713357490940897,7.240405903504793,406.4399066511085,0.9062897156156403,1.000047875983841,0.9064503568620439,23.399421799141177,0.34040940280981247,0.12774701254375523,0.001421402546238602
M1,400,0.01,2000239,1507,132,1373,0.0007528427682633061,7.747001733292872,778.1313868613139,0.9065102173028947,1.0004027745558657,0.9065809036356179,38.24195483948495,0.5954758462763103,0.10489666103637622,0.0012329699710668992
M1,800,0.01,4001601,1507,243,1263,0.0003764574925283055,8.236292174057333,1475.6828135368282,0.9064864118993115,1.0009889023917413,0.9065219880699203,66.10910315494971,1.0806970366504174,0.09026850670974847,0.0011307252710160553
