# 2017-08-13
# infinite alleles model
# popsize_multiplier_list=[1]
# N_list=[25,50,100,200,400,800,1600,3200,6400]
# ngens=400000
# burn_in=2.0
# dfe=dfe_disadv
# dfe_str=dfe_disadv alpha_disadv=0.2 beta_disadv=1.0
# dfe_disadv_alpha=0.2
# dfe_disadv_beta=1.0
type,N,N_mu,expected_richness,average_richness,stderr_richness,expected_w_heteroz,w_heteroz,stderr_heteroz,IQV,stderr_IQV
D4,25,0.5,3.8159581777535068,2.9204475,0.002004256668186825,0.5,0.37650648000121845,0.0003637891538179274,0.5643010042736923,0.0004976200630280775
D4,50,0.5,4.499205338329423,3.30305,0.0022589520802600606,0.5,0.36684634600020627,0.0003584584037436195,0.5255207539113557,0.0004747480881178238
D4,100,0.5,5.187377517639621,3.6458675,0.002422954571980565,0.5,0.35286563950022354,0.0003509823673000744,0.4890660070781678,0.0004582382054827314
D4,200,0.5,5.878030948121446,3.9117525,0.0026027493411044603,0.5,0.3220078370003753,0.00035075247323504633,0.43485632502722904,0.00045259831570506644
D4,400,0.5,6.5699296911765055,4.120055,0.002725082211167242,0.5,0.29167169693750505,0.000347604000188048,0.3868747286832495,0.0004468330740234642
D4,800,0.5,7.2624522623611485,4.2529275,0.002809200540790666,0.5,0.25455743055475255,0.00033857385305139406,0.3340182479195916,0.0004337598421362926
D4,1600,0.5,7.955287040577324,4.5137225,0.002948881308604469,0.5,0.2487290826503602,0.00034635441862342303,0.32112672524281455,0.00043912904008713637
D4,3200,0.5,8.648277995551316,4.743575,0.002961640166650684,0.5,0.25056957057760587,0.0003463018554345068,0.31983938982347315,0.0004353603553443426
D4,6400,0.5,9.341347057214758,4.8109975,0.0029778870121299123,0.5,0.2085131045393347,0.0003180848002189904,0.2656633109853453,0.00040415127508891275
D4,25,1.0,5.708839432430091,4.36892,0.0024876666889303914,0.6666666666666667,0.5502964000004564,0.0003086753232918962,0.7269117863466769,0.00034942325417858515
D4,50,1.0,7.037626362933359,5.1795,0.0029019920621695056,0.6666666666666667,0.5436403500000377,0.00031059599247985583,0.6842976618338535,0.0003482071528470725
D4,100,1.0,8.39455701547726,5.83907,0.003207470507645805,0.6666666666666667,0.5178262000000247,0.00031691293303764886,0.6329899676361243,0.0003579210175242425
D4,200,1.0,9.76601214499911,6.4617525,0.003487541860570269,0.6666666666666667,0.49499304637507135,0.0003229881285445541,0.5920217891100394,0.00036501331059743484
D4,400,1.0,11.144846913525079,7.0235725,0.0037341199702526006,0.6666666666666667,0.4647735860937562,0.0003327051261519775,0.5467588974509143,0.0003758258032746262
D4,800,1.0,12.527401403623669,7.391985,0.0038713443230620373,0.6666666666666667,0.42215069586719833,0.00034205522813371853,0.49192831899389217,0.0003875607227493722
D4,1600,1.0,13.911823300392623,7.868785,0.004053299289779292,0.6666666666666667,0.40208466776364826,0.000343494698945829,0.463772057970086,0.0003882559224101093
D4,3200,1.0,15.297180795851219,8.151355,0.004179610966681837,0.6666666666666667,0.3716624097319088,0.0003415411226988805,0.4261738882403844,0.00038510259387366185
D4,6400,1.0,16.68300656560909,8.184175,0.004225950315618691,0.6666666666666667,0.28389899421252995,0.00034946351448691824,0.3242883732222292,0.00039386939663661356
D4,25,2.0,8.37535082253214,6.5199625,0.0029070646490999405,0.8,0.7067285519998155,0.00020868700360416337,0.8445566642934618,0.00020302393937356782
D4,50,2.0,10.89431416756967,8.158715,0.0035515004441539952,0.8,0.7099328119999946,0.0002082720388855117,0.8159435886746274,0.00020941852117138928
D4,100,2.0,13.533831335352,9.6693175,0.004147476276530464,0.8,0.6941111564999978,0.00022323814553754255,0.7791252768793488,0.0002303797822314659
D4,200,2.0,16.238197370360428,10.995565,0.00461031630850625,0.8,0.6711518893750092,0.0002411291698858368,0.7418689583588162,0.000252173830170436
D4,400,2.0,18.976236300785686,12.16581,0.005040758239874147,0.8,0.6373252961249976,0.00026432671343860014,0.6970711393824406,0.00027862028252671213
D4,800,2.0,21.731438325135873,13.1147025,0.005260350156543172,0.8,0.6022412691562453,0.0002737022669356303,0.6541165746275347,0.000289875184364966
D4,1600,2.0,24.495305467625887,14.03894,0.005446710783366955,0.8,0.583100032888671,0.00028061641790191357,0.6296571161341713,0.0002974427803550703
D4,3200,2.0,27.26352630682967,14.7303675,0.005766238822762617,0.8,0.5225417582397502,0.0003140428058096638,0.5618508584769334,0.0003331549832171011
D4,6400,2.0,30.03392930980186,15.6497225,0.005970984806891847,0.8,0.5221310160824104,0.00031728361255837454,0.5587966993417114,0.00033579961871090696
D4,25,4.0,11.725104420635022,9.2955925,0.003132916927207063,0.8888888888888888,0.8167791839998937,0.00011511975920806249,0.9198776354946004,0.00010206133638822058
D4,50,4.0,16.289248572601682,12.53814,0.00414315776496511,0.8888888888888888,0.8305430659999213,0.00011239649450345977,0.9056076479349402,0.00010559476340810127
D4,100,4.0,21.294823800880472,15.7165175,0.005086458995278268,0.8888888888888888,0.8269324260000002,0.00012109536422220924,0.8853095795420827,0.00011863899718772752
D4,200,4.0,26.55592663550028,18.8299575,0.005901178456906069,0.8888888888888888,0.8192766901249973,0.0001268929376324842,0.8668637045481017,0.00012678475172894324
D4,400,4.0,31.955197645152268,21.4364875,0.0065449215041781215,0.8888888888888888,0.7972966606874988,0.00015014248856172856,0.8375318974307513,0.0001523623439074848
D4,800,4.0,37.426413128332825,23.74974,0.007120853291381515,0.8888888888888888,0.7728515023593783,0.00016648858910864808,0.8078118781212746,0.00016992778333425068
