# 2017-08-13
# infinite alleles model
# popsize_multiplier_list=[1]
# N_list=[25,50,100,200,400,800,1600,3200,6400]
# ngens=400000
# burn_in=2.0
# dfe=InfAlleles.dfe_neutral
# dfe_str=dfe_neutral
type,N,N_mu,expected_richness,average_richness,stderr_richness,expected_w_heteroz,w_heteroz,stderr_heteroz,IQV,stderr_IQV
N3,25,0.5,3.8159581777535068,3.4846825,0.002157956226947634,0.5,0.47200099200086754,0.00033848886904627626,0.6710981100546066,0.00042430204264553515
N3,50,0.5,4.499205338329423,4.133675,0.0025099339105558306,0.5,0.4851034400001124,0.00033399118974937453,0.6509789478399503,0.0004020965462902032
N3,100,0.5,5.187377517639621,4.8094375,0.002817845530652444,0.5,0.4916402285000424,0.0003279166635770412,0.6312694476972037,0.00038582612714823706
N3,200,0.5,5.878030948121446,5.4685925,0.00309531426107032,0.5,0.4894730338750808,0.00032803983761640876,0.6076926564975054,0.0003798908608207734
N3,400,0.5,6.5699296911765055,6.187525,0.0033557806974082393,0.5,0.4998963248125141,0.00031704979594613704,0.6046332290194542,0.00036190406570435284
N3,800,0.5,7.2624522623611485,6.761175,0.0035853906601656356,0.5,0.48998377439845064,0.0003333430412467762,0.5806451868480689,0.0003780027391919374
N3,1600,0.5,7.955287040577324,7.5468375,0.003772456255551529,0.5,0.504184305556638,0.0003135289814774137,0.5868052567534241,0.000351898802057706
N3,3200,0.5,8.648277995551316,8.11523,0.003994612936203117,0.5,0.483231005517588,0.00031883550574167294,0.5555442000156627,0.00035558887972659035
N3,6400,0.5,9.341347057214758,9.17661,0.004168999067058308,0.5,0.5385673500920368,0.000287298367205426,0.6088839086255581,0.0003146060929510407
N3,25,1.0,5.708839432430091,5.0767875,0.0025915598083133206,0.6666666666666667,0.626586800000068,0.00026028753877660373,0.7944415166825348,0.0002725850178448762
N3,50,1.0,7.037626362933359,6.333055,0.003090739765673946,0.6666666666666667,0.6453414880000197,0.0002492327846439078,0.776657933709779,0.00026049988541213464
N3,100,1.0,8.39455701547726,7.677685,0.0035778453158822063,0.6666666666666667,0.657244155500007,0.00024331758793629993,0.7630782230535449,0.0002554091626749873
N3,200,1.0,9.76601214499911,8.98997,0.004036719179668599,0.6666666666666667,0.6620924746250054,0.00024081499871968066,0.7506353058867439,0.0002534619572855148
N3,400,1.0,11.144846913525079,10.40532,0.004436902180491744,0.6666666666666667,0.6658124462499937,0.0002354148227277694,0.740911881043828,0.00024696134651695404
N3,800,1.0,12.527401403623669,11.809675,0.004758913752537203,0.6666666666666667,0.6742691552734326,0.0002339337313666856,0.7399908565615698,0.0002463399524352545
